location,population,highest_infection_count,percent_population_infected
Papua New Guinea,10142625,46247,0.46
Cameroon,27914542,123993,0.44
Togo,8848700,39332,0.44
Congo,5970430,25375,0.43
Malawi,20405318,88099,0.43
Guinea-Bissau,2105580,8848,0.42
Burundi,12889583,51018,0.4
Ethiopia,123379928,494786,0.4
Uganda,47249588,169810,0.36
Cote d'Ivoire,28160548,87889,0.31
Low income,737604900,2259363,0.31
Angola,35588996,104750,0.29
Haiti,11585003,33862,0.29
Eritrea,3684041,10189,0.28
Guinea,13859349,38153,0.28
Central African Republic,5579148,15311,0.27
Syria,22125242,57407,0.26
Madagascar,29611718,67488,0.23
Nicaragua,6948395,15250,0.22
Benin,13352864,27980,0.21
Tajikistan,9952789,17786,0.18
South Sudan,10913172,18352,0.17
Somalia,17597508,27286,0.16
Liberia,5302690,8022,0.15
Mali,22593598,32760,0.14
Sudan,46874200,63655,0.14
China,1425887360,1763679,0.12
Macao,695180,819,0.12
Nigeria,218541216,266283,0.12
Burkina Faso,22673764,21631,0.1
Democratic Republic of Congo,99010216,94452,0.1
Sierra Leone,8605723,7759,0.09
Tanzania,65497752,40656,0.06
Chad,17723312,7647,0.04
Niger,26207982,9434,0.04
Yemen,33696612,11945,0.04
North Korea,26069416,1,0
England,56550000,0,0
Guam,171783,0,0
Guernsey,63329,0,0
Jersey,110796,0,0
Niue,1952,0,0
Northern Cyprus,382836,0,0
Northern Ireland,1896000,0,0
Northern Mariana Islands,49574,0,0
Pitcairn,47,0,0
Puerto Rico,3252412,0,0
Scotland,5466000,0,0
Sint Maarten (Dutch part),44192,0,0
Tokelau,1893,0,0
Turkmenistan,6430777,0,0
United States Virgin Islands,99479,0,0
Wales,3170000,0,0
Western Sahara,576005,0,0
